Serial_No,Time,Fa,Fb,Ca_feed,Cb_feed,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa,Fin,Ca0_eff,k_f,rate_net
1,20:08:03,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.89380356410642,49.89380356410642,0.10619643589358395,0.10619643589358395,303.0012681129866,303.00000603468646,0.16670001234074244,0.21239287178714816,2.78e-06,50.0,4.3e-05,0.106032
2,20:08:04,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.788171344124386,49.788171344124386,0.21182865587561323,0.21182865587561323,303.002525174387,303.0000239036746,0.16670002467463266,0.42365731175121324,2.78e-06,50.0,4.3e-05,0.105587
3,20:08:05,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.683100002068336,49.683100002068336,0.31689999793166074,0.31689999793166074,303.0037713068784,303.00005326065224,0.16670003700167446,0.6337999958633156,2.78e-06,50.0,4.3e-05,0.105144
4,20:08:06,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.5785862228329,49.5785862228329,0.4214137771670967,0.4214137771670967,303.0050066311755,303.0000937675482,0.1667000493218716,0.8428275543341912,2.78e-06,50.0,4.3e-05,0.104704
5,20:08:07,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.47462671401066,49.47462671401066,0.5253732859893259,0.5253732859893259,303.00623126606956,303.0001450943451,0.16670006163522794,1.0507465719786668,2.78e-06,50.0,4.3e-05,0.104267
6,20:08:08,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.371218205711536,49.371218205711536,0.6287817942884518,0.6287817942884518,303.0074453284663,303.00020691889654,0.16670007394174724,1.2575635885769154,2.78e-06,50.0,4.3e-05,0.103833
7,20:08:09,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.26835745038361,49.26835745038361,0.7316425496163758,0.7316425496163758,303.0086489334227,303.00027892674814,0.16670008624143332,1.4632850992327584,2.78e-06,50.0,4.3e-05,0.103401
8,20:08:10,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.16604122263565,49.16604122263565,0.833958777364343,0.833958777364343,303.0098421941837,303.000360810963,0.16670009853428996,1.6679175547286929,2.78e-06,50.0,4.3e-05,0.102971
9,20:08:11,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,49.06426631906103,49.06426631906103,0.9357336809389499,0.9357336809389499,303.01102522221777,303.0004522719506,0.166700110820321,1.871467361877921,2.78e-06,50.0,4.3e-05,0.102545
10,20:08:12,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,48.96302955806336,48.96302955806336,1.036970441936622,1.036970441936622,303.0121981272516,303.00055301730015,0.16670012309953014,2.07394088387326,2.78e-06,50.0,4.3e-05,0.102121
11,20:08:13,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,48.862327779683405,48.862327779683405,1.1376722203165748,1.1376722203165748,303.0133610173042,303.00066276161675,0.16670013537192122,2.2753444406331758,2.78e-06,50.0,4.3e-05,0.101699
12,20:08:14,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,48.762157845427716,48.762157845427716,1.237842154572272,1.237842154572272,303.0145139987203,303.0007812263622,0.16670014763749802,2.4756843091445546,2.78e-06,50.0,4.3e-05,0.10128
13,20:08:15,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,48.6625166380986,48.6625166380986,1.3374833619013886,1.3374833619013886,303.0156571762032,303.0009081396989,0.16670015989626435,2.674966723802785,2.78e-06,50.0,4.3e-05,0.100864
14,20:08:16,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,48.5634010616257,48.5634010616257,1.4365989383742945,1.4365989383742945,303.01679065284617,303.00104323633707,0.16670017214822397,2.87319787674859,2.78e-06,50.0,4.3e-05,0.10045
15,20:08:17,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,1e-05,48.46480804089892,48.46480804089892,1.5351919591010692,1.5351919591010692,303.0179145301644,303.00118625738594,0.16670018439338063,3.0703839182021353,2.78e-06,50.0,4.3e-05,0.100038
