Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,16:47:21,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.6216,99.6216,0.2678,0.2678,302.9794,293.0291,0.5,0.0
2,16:47:22,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.2463,99.2463,0.5326,0.5326,302.9589,293.0566,0.5,0.0
3,16:47:23,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.8742,98.8742,0.7945,0.7945,302.9385,293.0827,0.5,0.0
4,16:47:24,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.5051,98.5051,1.0536,1.0536,302.9183,293.1073,0.5,0.0
5,16:47:25,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.1392,98.1392,1.3099,1.3099,302.8981,293.1307,0.5,0.0
6,16:47:26,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.7762,97.7762,1.5634,1.5634,302.8781,293.1527,0.5,0.0
7,16:47:27,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.4162,97.4162,1.8142,1.8142,302.8583,293.1736,0.5,0.0
8,16:47:28,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.0592,97.0592,2.0622,2.0622,302.8385,293.1933,0.5,0.0
9,16:47:29,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.7051,96.7051,2.3076,2.3076,302.8188,293.2119,0.5,0.0
10,16:47:30,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.3538,96.3538,2.5504,2.5504,302.7993,293.2296,0.5,0.0
11,16:47:31,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.0054,96.0054,2.7905,2.7905,302.7799,293.2462,0.5,0.0
12,16:47:32,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,95.6599,95.6599,3.0281,3.0281,302.7605,293.262,0.5,0.0
13,16:47:33,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,95.3171,95.3171,3.2631,3.2631,302.7413,293.2769,0.5,0.0
14,16:47:34,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.977,94.977,3.4956,3.4956,302.7222,293.2909,0.5,0.0
15,16:47:35,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.6397,94.6397,3.7256,3.7256,302.7031,293.3042,0.5,0.0
16,16:47:36,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.305,94.305,3.9532,3.9532,302.6842,293.3167,0.5,0.0
17,16:47:37,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.973,93.973,4.1784,4.1784,302.6653,293.3285,0.5,0.0
18,16:47:38,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.6437,93.6437,4.4012,4.4012,302.6466,293.3397,0.5,0.0
19,16:47:39,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.3169,93.3169,4.6216,4.6216,302.6279,293.3502,0.5,0.0
20,16:47:40,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.9927,92.9927,4.8397,4.8397,302.6093,293.3602,0.5,0.0
21,16:47:41,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.6711,92.6711,5.0555,5.0555,302.5909,293.3695,0.5,0.0
22,16:47:43,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.3519,92.3519,5.269,5.269,302.5725,293.3784,0.5,0.0
23,16:47:44,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.0352,92.0352,5.4802,5.4802,302.5541,293.3867,0.5,0.0
24,16:47:45,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,91.721,91.721,5.6893,5.6893,302.5359,293.3945,0.5,0.0
